milliseconds_played,latitude,longitude,city,timestamp,source,track_id,track_name,album_name,artist_id,artist_name,valence_score,danceability_score,familiarity_score,song_year,song_tempo,runnability,energy,popularity_normalized,Id,date,hour,weekday,device,system,up_to_date_score,tempo_score
169373,40.8,-74.0,New York,1439292750,artist,0b1a6a83a3b34064b420a424ae0a9224,"The Girl I Knew Somewhere [Live at Seattle Center Coliseum August 25, 1967]",Summer 1967: The Complete U.S. Concert Recordings,63a2d71d32444ef1a86c19e148dd6868,The Monkees,0.593979,0.380856,0.723903,1967.0,94.657,0.44604164,0.7533427,0.272635533,1,2015-08-11,07,Tue,"iPad3,1",iOS 8.4,0.36,0.394950514879
91254,40.8,-74.0,New York,1439293034,artist,61ac046f1fcb43ccbc11b597546e1a11,"I Got A Woman [Live at Seattle Center Coliseum August 25, 1967]",Summer 1967: The Complete U.S. Concert Recordings,63a2d71d32444ef1a86c19e148dd6868,The Monkees,0.392468,0.412188,0.723903,1967.0,142.38,0.23201494,0.5249793,0.2616247071,1,2015-08-11,07,Tue,"iPad3,1",iOS 8.4,0.36,0.594071799322
10913,40.8,-74.0,New York,1439293044,playlist,faa3df78662c4168b2572a75810f6d00,This Land is Your Land,"The Asch Recordings, Vol. 1-4",920bcae0f98142d49ebabd197360f35f,Woody Guthrie,0.39486,0.57111,0.704579,1967.0,107.147,0.33969918,0.20563708,0.3105740503,1,2015-08-11,07,Tue,"iPad3,1",iOS 8.4,0.36,0.447064272243
139693,40.8,-74.0,New York,1439293183,playlist,fa8e70a9ed2b49498bbac373d719fed3,This Land is Your Land,"The Asch Recordings, Vol. 1-4",920bcae0f98142d49ebabd197360f35f,Woody Guthrie,,,,,,0.31126663,0.091887385,0.546156498,1,2015-08-11,07,Tue,"iPad3,1",iOS 8.4,,
45139,40.8,-74.0,New York,1439293228,playlist,832bb6cc523c4908b73ac241ad98a4bc,Car Song,"The Asch Recordings, Vol. 1-4",920bcae0f98142d49ebabd197360f35f,Woody Guthrie,0.71194,0.727489,0.704579,1951.0,62.494,0.116428256,0.2007038,0.4540746375,1,2015-08-11,07,Tue,"iPad3,1",iOS 8.4,0.146666666667,0.260752374118
139693,40.8,-74.0,New York,1439293367,playlist,fa8e70a9ed2b49498bbac373d719fed3,This Land is Your Land,"The Asch Recordings, Vol. 1-4",920bcae0f98142d49ebabd197360f35f,Woody Guthrie,,,,,,0.31126663,0.091887385,0.546156498,1,2015-08-11,07,Tue,"iPad3,1",iOS 8.4,,
112173,40.8,-74.0,New York,1439293479,playlist,832bb6cc523c4908b73ac241ad98a4bc,Car Song,"The Asch Recordings, Vol. 1-4",920bcae0f98142d49ebabd197360f35f,Woody Guthrie,0.71194,0.727489,0.704579,1951.0,62.494,0.116428256,0.2007038,0.4540746375,1,2015-08-11,07,Tue,"iPad3,1",iOS 8.4,0.146666666667,0.260752374118
135533,40.8,-74.0,New York,1439293615,playlist,d68472f6663c45a5932e0e608eb42b5d,Rambling Round,"The Asch Recordings, Vol. 1-4",920bcae0f98142d49ebabd197360f35f,Woody Guthrie,,,,,,0.2956702,0.2069504,0.3386474755,1,2015-08-11,07,Tue,"iPad3,1",iOS 8.4,,
186560,40.8,-74.0,New York,1439293801,playlist,901569aebcb3407398a6a33bf513cbbe,Talking Fishing Blues,"The Asch Recordings, Vol. 1-4",920bcae0f98142d49ebabd197360f35f,Woody Guthrie,0.813607,0.577114,0.704579,1967.0,127.705,0.35357368,0.079515226,0.3508317076,1,2015-08-11,07,Tue,"iPad3,1",iOS 8.4,0.36,0.532841263748
151973,40.8,-74.0,New York,1439293953,playlist,4e120894304a48a78e8b255e3c71c21b,Philadelphia Lawyer,"The Asch Recordings, Vol. 1-4",920bcae0f98142d49ebabd197360f35f,Woody Guthrie,0.430913,0.564585,0.704579,1967.0,177.796,0.07698883,0.078129545,0.3184390863,1,2015-08-11,07,Tue,"iPad3,1",iOS 8.4,0.36,0.741842882654
192960,40.8,-74.0,New York,1439294146,playlist,7045cd486585415caf8fb41b70f329bc,Lindbergh,"The Asch Recordings, Vol. 1-4",920bcae0f98142d49ebabd197360f35f,Woody Guthrie,0.926591,0.610309,0.704579,1967.0,119.325,0.3752507,0.29482132,0.327970484,1,2015-08-11,07,Tue,"iPad3,1",iOS 8.4,0.36,0.497876228783
145000,40.8,-74.0,New York,1439294291,playlist,acf8875964af4393bea7e922728a826a,Hobo's Lullaby,"The Asch Recordings, Vol. 1-4",920bcae0f98142d49ebabd197360f35f,Woody Guthrie,0.631089,0.65198,0.704579,1967.0,97.905,0.079325356,0.03842863,0.3281126958,1,2015-08-11,07,Tue,"iPad3,1",iOS 8.4,0.36,0.408502595257
